step,transport_delta_dx,transport_delta_dy,true_delta_dx,true_delta_dy,transport_delta_nonzero,true_delta_nonzero,delta_match,transport_mae_pre,transport_mae_post,transport_norm,mae_pos_prior,mae_pos_prior_unobs,mae_pos_unobs_pre,mae_pos_unobs_post,periph_dims_missing,candidate_count,clamped_count,transport_source,periph_selected,diff_count
58,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.011719,0.011719,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
59,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
60,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
61,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
62,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.046875,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
63,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
64,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
65,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
66,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.058594,0.058594,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
67,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,9
68,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
69,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
70,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.023438,0.023438,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
71,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
72,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.070312,0.070312,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
73,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
74,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.011719,0.011719,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
78,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.046875,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
79,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
80,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
81,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
82,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.058594,0.058594,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
83,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,9
84,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
86,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.023438,0.023438,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
87,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
88,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.070312,0.070312,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
89,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
90,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.011719,0.011719,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
91,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
92,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.035156,0.035156,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,15
93,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
94,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.046875,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
95,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,6
96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,12
97,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
98,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.058594,0.058594,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,18
99,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,buffer_infer,0.0,9
